city,timestamp,temperature,season
New York,2010-01-01,0.9313021919398644,winter
New York,2010-01-02,-10.779450154465547,winter
New York,2010-01-03,-9.00094589646224,winter
New York,2010-01-04,-2.5631629334024857,winter
New York,2010-01-05,-0.2193534591140364,winter
New York,2010-01-06,-0.21139324219286054,winter
New York,2010-01-07,8.200577343938418,winter
New York,2010-01-08,-1.5073528998365113,winter
New York,2010-01-09,0.9615885225191066,winter
New York,2010-01-10,5.403835504566591,winter
New York,2010-01-11,1.1426134181499021,winter
New York,2010-01-12,-1.2228127631809287,winter
New York,2010-01-13,-4.471737331042485,winter
New York,2010-01-14,3.8269288979011673,winter
New York,2010-01-15,-0.3236419768079475,winter
New York,2010-01-16,1.9509567487405342,winter
New York,2010-01-17,-2.091935108933474,winter
New York,2010-01-18,2.1167256103511787,winter
New York,2010-01-19,11.056873249033867,winter
New York,2010-01-20,5.860532835668996,winter
New York,2010-01-21,-0.574019224882119,winter
New York,2010-01-22,6.5759989301715684,winter
New York,2010-01-23,-4.394203434060987,winter
New York,2010-01-24,5.768833643211043,winter
New York,2010-01-25,-7.9928373392983545,winter
New York,2010-01-26,1.492718632113369,winter
New York,2010-01-27,0.7715296959663482,winter
New York,2010-01-28,-0.7161866681471007,winter
New York,2010-01-29,3.282914318382923,winter
New York,2010-01-30,14.1674996916698,winter
New York,2010-01-31,-2.443557340237787,winter
New York,2010-02-01,5.06402433922443,winter
New York,2010-02-02,5.913421453770226,winter
New York,2010-02-03,-2.6082558327303924,winter
New York,2010-02-04,3.226515767262426,winter
New York,2010-02-05,-8.968031424637177,winter
New York,2010-02-06,9.376572750242838,winter
New York,2010-02-07,6.347981271520481,winter
New York,2010-02-08,7.381795757701654,winter
New York,2010-02-09,2.279806029054553,winter
New York,2010-02-10,-2.5771529988664144,winter
New York,2010-02-11,-7.780548228079908,winter
New York,2010-02-12,2.9262205700960076,winter
New York,2010-02-13,-10.8767714593866,winter
New York,2010-02-14,-1.3687171969669527,winter
New York,2010-02-15,5.223469124699742,winter
New York,2010-02-16,0.6846417906423596,winter
New York,2010-02-17,2.2755669241358563,winter
New York,2010-02-18,-0.41893458847182197,winter
New York,2010-02-19,5.590880375902996,winter
New York,2010-02-20,-4.535932310910123,winter
New York,2010-02-21,14.608248023825531,winter
New York,2010-02-22,-6.430542106460701,winter
New York,2010-02-23,-0.08448828480088255,winter
New York,2010-02-24,-9.017002782368124,winter
New York,2010-02-25,-7.220754182158259,winter
New York,2010-02-26,6.140997269899923,winter
New York,2010-02-27,-1.8075591302364238,winter
New York,2010-02-28,-0.7840183827692871,winter
New York,2010-03-01,6.5049303415824244,spring
New York,2010-03-02,2.4398529815565837,spring
New York,2010-03-03,24.338281220359345,spring
New York,2010-03-04,14.783374170424018,spring
New York,2010-03-05,17.301661454797788,spring
New York,2010-03-06,5.965375032460402,spring
New York,2010-03-07,9.716794488303748,spring
New York,2010-03-08,4.902058432335092,spring
New York,2010-03-09,13.703250199814104,spring
New York,2010-03-10,10.810847423634602,spring
New York,2010-03-11,13.570308712081848,spring
New York,2010-03-12,13.605567583213393,spring
New York,2010-03-13,5.58725622150038,spring
New York,2010-03-14,15.700635975058493,spring
New York,2010-03-15,5.317744960239915,spring
New York,2010-03-16,13.864063564537478,spring
New York,2010-03-17,11.61936955381078,spring
New York,2010-03-18,6.1948781671289215,spring
New York,2010-03-19,7.048163680574669,spring
New York,2010-03-20,11.589040897733536,spring
New York,2010-03-21,11.066227729279131,spring
New York,2010-03-22,-3.2215693569958237,spring
New York,2010-03-23,17.35233872839303,spring
New York,2010-03-24,12.536301730487088,spring
New York,2010-03-25,6.4876881108220985,spring
New York,2010-03-26,4.230371996277,spring
New York,2010-03-27,3.7128946967781857,spring
New York,2010-03-28,15.540254948730315,spring
New York,2010-03-29,9.985401129855127,spring
New York,2010-03-30,9.31866669632795,spring
New York,2010-03-31,8.58261454677606,spring
New York,2010-04-01,8.948207032264458,spring
